template csv,config,title,topic,explain,ex1,tran1,ex2,tran2,ex3,tran3
ch_tmpl_1.csv,ch_tmpl_1_1.json,被冷落,Be left out,被排除在團體或活動之外，感覺被冷落、孤單又沒被重視,I don't want to be left out.,我不想被冷落,She felt like she would be left out.,她覺得自己會被冷落,I hate to be left out when everyone else is planning weekend trips together.,當大家一起計畫週末旅行時，我討厭被冷落。
ch_tmpl_2.csv,ch_tmpl_2_1.json,放鴿子,Stand someone up,放鴿子，約好時間沒出現、也沒事先通知，讓人尷尬又空等,Don't stand me up again,別再放我鴿子了,He stood her up last night,他昨晚放她鴿子,"He said he'd be there, but he stood me up without sending a message.",他說會來，但他放鴿子連消息都沒傳來。
ch_tmpl_1.csv,ch_tmpl_1_1.json,偽君子,hypocrite,外表裝得很道德，私底下卻做壞事的偽君子，講一套做一套讓人看破手腳,Don't be a hypocrite,別做偽君子,He's such a hypocrite,他真是個偽君子,"If you act like a hypocrite now, don't expect me to trust you later.",如果你現在表現得像個偽君子，別指望我以後還會信任你。
ch_tmpl_2.csv,ch_tmpl_2_1.json,死會,taken,表示某人已經有固定對象，不能追求，大家口語會說他死會,He's taken,他已經死會了,"Don't hit on him, he's taken",別勾搭他，他已經死會了,"I wanted to ask her out, but she's already taken and happily in love.",我原本想約她，但她已經死會了，感情很穩定也很幸福。
ch_tmpl_1.csv,ch_tmpl_1_1.json,戳中笑點,Hit one's funny bone,指講話或情節直接戳中笑點，讓人當場噴笑、停不下來,That joke hit my funny bone,那個笑話戳中我的笑點,That joke really hit my funny bone last night.,那個笑話昨晚真的戳中我的笑點。,Her sarcastic comment really hit my funny bone and I couldn't stop laughing.,她那句諷刺的話真的戳中我的笑點，我笑到停不下來。
ch_tmpl_2.csv,ch_tmpl_2_1.json,打假球,throw the game,故意輸掉比賽、為投注或收錢而打假球，破壞運動公平,They try to throw the game,他們試圖打假球,Don't let them throw the game,別讓他們打假球,Some players were paid to throw the game last season,上賽季有些球員收錢打假球
ch_tmpl_1.csv,ch_tmpl_1_1.json,頻率很合,on the same wavelength,形容兩個人想法、節奏和幽默感都很合，聊天做事都順手，簡單說就是頻率很合,We're on the same wavelength,我們的頻率很合,We're totally on the same wavelength,我們的頻率完全很合,We were immediately on the same wavelength about how to handle the situation.,我們馬上就對處理這種情況的方式頻率很合。
ch_tmpl_2.csv,ch_tmpl_2_1.json,罷免,recall,指透過公民投票或選民連署，把不稱職的民選官員罷免下台，讓人民決定是否續任,They will recall the mayor,他們會罷免市長,They launched a campaign to recall the corrupt official,他們發起運動要罷免貪污官員,Citizens petitioned to recall the city council member,市民請願罷免那位市議員
ch_tmpl_1.csv,ch_tmpl_1_1.json,拋媚眼,Give someone the eye,用眼神故意吸引別人的注意或示好，像是對人拋媚眼、眉來眼去，帶點調情或玩笑味道,She gave me the eye,她對我拋媚眼,She gave him the eye across the bar.,她在吧台那頭對他拋媚眼。,Don't give the new boss the eye; it might backfire during meetings.,別對新上司拋媚眼；會議中這樣可能會弄巧成拙。
ch_tmpl_2.csv,ch_tmpl_2_1.json,小白臉,kept man,靠情人或伴侶供養、自己不工作的男人，通常被罵作小白臉,He's just a kept man.,他只是個小白臉。,He's just a kept man living off her paycheck.,他只是個靠她薪水生活的小白臉。,"Everyone jokes that he's her kept man, but she clearly enjoys spoiling him.",大家都笑說他是她的小白臉，但她顯然很喜歡寵著他。
ch_tmpl_1.csv,ch_tmpl_1_1.json,操之過急,jump the gun,太急著開始或行動，還沒準備好就先衝，簡單說就是操之過急,Don't jump the gun.,別操之過急。,She jumped the gun and announced the news prematurely.,她操之過急，提早公布了這個消息。,Don't jump the gun and sign anything before reviewing the contract with your lawyer.,別操之過急就簽下任何文件，先讓律師審查合約。
ch_tmpl_2.csv,ch_tmpl_2_1.json,慢郎中,slowpoke,指做事慢吞吞、愛磨蹭、進度拖很久的人，通俗講就是慢郎中,Stop being such a slowpoke.,別再當慢郎中了。,"Don't be a slowpoke, or we'll miss it.",別做慢郎中，不然我們會錯過的。,"Stop being a slowpoke and hurry up, the movie starts in fifteen minutes.",別當慢郎中，快點啦，電影十五分鐘後就要開始了。
ch_tmpl_1.csv,ch_tmpl_1_1.json,惡性循環,vicious cycle,指一件壞事引發更多問題，越來越難收拾的惡性循環,We're trapped in a vicious cycle.,我們被困在惡性循環中。,Ignoring the problem only creates a vicious cycle.,忽視這個問題只會造成惡性循環。,"If we don't fix spending and income, it'll create a vicious cycle that's hard to break.",如果我們不改善支出和收入，就會形成難以打破的惡性循環。
ch_tmpl_2.csv,ch_tmpl_2_1.json,酒肉朋友,fair-weather friend,形容只在你有錢有面子時出現，平常不幫忙，真正需要時就不見的酒肉朋友,He's a fair-weather friend.,他只是個酒肉朋友。,"He's just a fair-weather friend, not a true buddy.",他只是個酒肉朋友，不是真正的兄弟。,I realized he was just a fair-weather friend during my toughest times last year.,我發現他只是個酒肉朋友，在我去年最艱難的時候。
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
